DATE,DAY_OF_WK,TIME,SERVICE,COST,WAIT_TIME,ARRIVAL_TIME,TOTAL_DURATION,COLLECTOR
11/6/2017,Monday,8:23,Uber,15.58,2,8:42,19,Kara
11/6/2017,Monday,8:24,Lyft,12.79,1,8:42,18,Kara
11/6/2017,Monday,8:23,Uber,16.08,1,8:42,19,Ray
11/6/2017,Monday,8:24,Lyft,12.79,1,8:42,18,Ray
11/6/2017,Monday,9:42,Uber,14.37,1,10:00,18,Kara
11/6/2017,Monday,9:42,Lyft,12.49,1,9:59,17,Kara
11/6/2017,Monday,9:46,Uber,15.23,1,10:05,19,Ray
11/6/2017,Monday,9:47,Lyft,12.49,1,10:03,16,Ray
11/6/2017,Monday,17:23,Uber,16.62,6,17:51,28,Kara
11/6/2017,Monday,17:24,Lyft,15.69,3,17:45,21,Kara
11/6/2017,Monday,17:09,Uber,16.3,5,17:35,26,Ray
11/6/2017,Monday,17:09,Lyft,24.14,4,17:31,22,Ray
11/6/2017,Monday,18:20,Uber,29.92,5,18:47,27,Kara
11/6/2017,Monday,18:20,Lyft,40.62,4,18:40,20,Kara
11/6/2017,Monday,18:53,Uber,14.97,2,19:14,21,Ray
11/6/2017,Monday,18:53,Lyft,12.83,1,19:11,18,Ray
11/7/2017,Tuesday,8:45,Uber,15.22,1,9:03,18,Kara
11/7/2017,Tuesday,8:45,Lyft,12.74,1,9:06,21,Kara
11/7/2017,Tuesday,8:31,Uber,15.47,1,8:52,21,Ray
11/7/2017,Tuesday,8:32,Lyft,12.15,1,8:52,20,Ray
11/7/2017,Tuesday,9:10,Uber,14.7,1,9:29,19,Kara
11/7/2017,Tuesday,9:10,Lyft,12.43,1,9:30,20,Kara
11/7/2017,Tuesday,9:21,Uber,15.32,1,9:40,19,Ray
11/7/2017,Tuesday,9:22,Lyft,12.41,2,9:42,20,Ray
11/7/2017,Tuesday,17:33,Uber,17.26,6,18:01,28,Kara
11/7/2017,Tuesday,17:34,Lyft,16.14,3,17:59,25,Kara
11/7/2017,Tuesday,17:25,Uber,16.38,6,17:45,20,Ray
11/7/2017,Tuesday,17:23,Lyft,19.04,3,17:48,25,Ray
11/7/2017,Tuesday,18:21,Uber,13.34,3,18:46,25,Kara
11/7/2017,Tuesday,18:21,Lyft,12.9,4,18:44,23,Kara
11/7/2017,Tuesday,18:04,Uber,16.57,3,18:29,25,Ray
11/7/2017,Tuesday,18:04,Lyft,12.84,5,18:28,24,Ray
11/8/2017,Wednesday,8:28,Uber,15.47,2,8:47,19,Kara
11/8/2017,Wednesday,8:29,Lyft,15.79,2,8:51,22,Kara
11/8/2017,Wednesday,8:14,Uber,15.69,1,8:35,21,Ray
11/8/2017,Wednesday,8:14,Lyft,12.91,1,8:35,21,Ray
11/8/2017,Wednesday,9:44,Uber,15.33,1,10:02,18,Kara
11/8/2017,Wednesday,9:44,Lyft,12.38,1,10:03,19,Kara
11/8/2017,Wednesday,9:05,Uber,15.78,1,9:23,18,Ray
11/8/2017,Wednesday,9:05,Lyft,12.36,1,9:24,19,Ray
11/8/2017,Wednesday,17:23,Uber,36.29,9,17:51,28,Kara
11/8/2017,Wednesday,17:23,Lyft,24.5,6,17:50,27,Kara
11/8/2017,Wednesday,17:28,Uber,16.88,4,17:56,28,Ray
11/8/2017,Wednesday,17:29,Lyft,13.23,4,17:55,26,Ray
11/8/2017,Wednesday,18:15,Uber,14.85,5,18:50,35,Kara
11/8/2017,Wednesday,18:15,Lyft,15.47,2,18:36,21,Kara
11/8/2017,Wednesday,18:00,Uber,17.1,3,18:26,26,Ray
11/8/2017,Wednesday,18:01,Lyft,12.84,4,18:24,23,Ray
11/9/2017,Thursday,8:03,Uber,15.89,2,8:24,21,Kara
11/9/2017,Thursday,8:03,Lyft,19.76,1,8:23,20,Kara
11/9/2017,Thursday,8:35,Uber,15.77,1,8:54,19,Ray
11/9/2017,Thursday,8:36,Lyft,12.78,2,8:54,18,Ray
11/9/2017,Thursday,9:08,Uber,15.56,2,9:26,18,Kara
11/9/2017,Thursday,9:08,Lyft,12.27,2,9:27,19,Kara
11/9/2017,Thursday,9:38,Uber,15.76,1,9:56,18,Ray
11/9/2017,Thursday,9:38,Lyft,12.22,1,9:56,18,Ray
11/9/2017,Thursday,17:26,Uber,28.87,5,18:06,40,Kara
11/9/2017,Thursday,17:27,Lyft,16.2,4,17:52,25,Kara
11/9/2017,Thursday,17:40,Uber,42.07,3,18:06,26,Ray
11/9/2017,Thursday,17:40,Lyft,19.45,4,18:05,25,Ray
11/9/2017,Thursday,18:17,Uber,24.18,6,18:43,26,Kara
11/9/2017,Thursday,18:16,Lyft,18.79,2,18:37,21,Kara
11/9/2017,Thursday,18:07,Uber,20.12,5,18:33,26,Ray
11/9/2017,Thursday,18:07,Lyft,21.63,1,18:27,20,Ray
11/10/2017,Friday,8:10,Uber,15.26,2,8:30,20,Kara
11/10/2017,Friday,8:10,Lyft,12.16,1,8:30,20,Kara
11/10/2017,Friday,8:01,Uber,15.32,1,8:20,19,Ray
11/10/2017,Friday,8:02,Lyft,12.44,2,8:19,17,Ray
11/10/2017,Friday,9:27,Uber,15.26,2,9:44,17,Kara
11/10/2017,Friday,9:27,Lyft,12.44,1,9:45,18,Kara
11/10/2017,Friday,9:10,Uber,15.53,1,9:29,19,Ray
11/10/2017,Friday,9:11,Lyft,11.75,2,9:30,19,Ray
11/10/2017,Friday,17:30,Uber,23.58,2,17:51,21,Kara
11/10/2017,Friday,17:30,Lyft,22.56,3,17:55,25,Kara
11/10/2017,Friday,17:34,Uber,22.08,4,17:56,22,Ray
11/10/2017,Friday,17:34,Lyft,25.56,1,17:58,24,Ray
11/10/2017,Friday,18:14,Uber,18.59,8,18:37,23,Kara
11/10/2017,Friday,18:14,Lyft,13.03,3,18:37,23,Kara
11/10/2017,Friday,18:25,Uber,22.88,6,18:48,23,Ray
11/10/2017,Friday,18:26,Lyft,15.29,3,18:46,20,Ray
